representation	view	split	label	n	accuracy	balanced_accuracy	macro_f1	n_splits
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	marker_only	random	polarity	688	0.815406976744186	0.6775304328590296	0.6536633818155958	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	marker_only	lemma_group	polarity	688	0.7761627906976745	0.5600326503967712	0.5495113365256447	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	marker_only	random	evidence	688	0.6962209302325582	0.6431517725319208	0.6350423846837047	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	marker_only	lemma_group	evidence	688	0.6395348837209303	0.5659352609063079	0.5794743704863853	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	marker_only	random	function	688	0.8343023255813954	0.6970962981438756	0.660878588723625	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	marker_only	lemma_group	function	688	0.7732558139534884	0.6515973477998794	0.5983654407472271	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	marker_scope	random	polarity	688	0.747093023255814	0.5493835895700904	0.5171583687238336	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	marker_scope	lemma_group	polarity	688	0.7267441860465116	0.43816187266453693	0.42791795007672856	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	marker_scope	random	evidence	688	0.5581395348837209	0.5150734430951652	0.5091626539336862	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	marker_scope	lemma_group	evidence	688	0.47674418604651164	0.4315245648821326	0.43349733632438836	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	marker_scope	random	function	688	0.7877906976744186	0.5937103780840141	0.5729251700680272	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	marker_scope	lemma_group	function	688	0.7732558139534884	0.5799921015983871	0.5582191780821918	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	context_only_10	random	polarity	688	0.75	0.46371072681019393	0.4552989983153237	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	context_only_10	lemma_group	polarity	688	0.6947674418604651	0.397187576583669	0.38731921956733945	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	context_only_10	random	evidence	688	0.40406976744186046	0.3878468365377344	0.37734908314282145	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	context_only_10	lemma_group	evidence	688	0.26453488372093026	0.25466888952461747	0.24430794014245194	5.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	context_only_10	random	function	688	0.751453488372093	0.5456444472158134	0.5286821705426357	5.0
